Address,Signal Strength
20:3c:ae:d0:c9:2c,-98
dc:53:60:9e:76:e0,-98
7a:d5:3f:40:23:30,-98
7a:d5:3f:40:23:30,-98
e8:2a:ea:49:83:1a,-98
e8:2a:ea:49:83:1a,-74
e8:2a:ea:49:83:1a,-72
e8:2a:ea:49:83:1a,-74
00:28:f8:3f:cc:8a,-44
00:e1:8c:bc:85:db,-98
00:e1:8c:bc:85:db,-98
00:e1:8c:bc:85:db,-98
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-40
00:28:f8:3f:cc:8a,-54
da:a1:19:99:a5:32,-98
28:b2:bd:a8:37:de,-88
28:b2:bd:a8:37:de,-86
da:a1:19:99:a5:32,-74
da:a1:19:99:a5:32,-74
da:a1:19:99:a5:32,-84
da:a1:19:99:a5:32,-80
da:a1:19:99:a5:32,-74
da:a1:19:99:a5:32,-98
da:a1:19:99:a5:32,-84
66:e9:ed:d3:0c:5e,-98
66:e9:ed:d3:0c:5e,-98
48:f1:7f:64:69:9b,-68
48:f1:7f:64:69:9b,-72
48:f1:7f:64:69:9b,-74
2a:df:15:72:8b:e4,-80
2a:df:15:72:8b:e4,-98
76:55:10:da:01:8a,-98
28:b2:bd:a8:37:de,-98
7a:45:48:d3:52:cb,-98
c0:e8:62:18:b8:ac,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
f8:28:19:c6:0f:a1,-96
f8:28:19:c6:0f:a1,-98
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-74
96:3c:69:eb:69:de,-90
96:3c:69:eb:69:de,-76
96:3c:69:eb:69:de,-68
e8:2a:ea:49:83:1a,-90
96:3c:69:eb:69:de,-72
96:3c:69:eb:69:de,-74
96:3c:69:eb:69:de,-70
96:3c:69:eb:69:de,-74
00:28:f8:3f:cc:8a,-98
96:3c:69:eb:69:de,-74
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-98
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-48
00:28:f8:3f:cc:8a,-56
fa:dc:ac:a7:a7:53,-98
fa:dc:ac:a7:a7:53,-98
fa:dc:ac:a7:a7:53,-74
fa:dc:ac:a7:a7:53,-74
fa:dc:ac:a7:a7:53,-74
fa:dc:ac:a7:a7:53,-74
fa:dc:ac:a7:a7:53,-74
fa:dc:ac:a7:a7:53,-74
fa:dc:ac:a7:a7:53,-84
fa:dc:ac:a7:a7:53,-74
fa:dc:ac:a7:a7:53,-82
fa:dc:ac:a7:a7:53,-88
fa:dc:ac:a7:a7:53,-98
fa:dc:ac:a7:a7:53,-74
be:82:df:9a:6d:4a,-98
be:82:df:9a:6d:4a,-90
be:82:df:9a:6d:4a,-80
be:82:df:9a:6d:4a,-82
be:82:df:9a:6d:4a,-94
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-74
